id	pubchemid	casrn	solubility_logs	standard_deviation
RID00118	CID:323	CAS:91-64-5	-1.8860303607	0.6405071007775657
RID00047	CID:14778	CAS:1305-78-8	-1.7683268794999998	0.8662676474479235
RID00299	CID:702	CAS:64-17-5	1.2336682179	0.09686284934141773
RID00262	CID:637566	CAS:106-24-1	-2.3519095035	0.41816205785000005
RID00151	CID:440917	CAS:5989-27-5	-4.346837785	0.17426641779787772
RID00264	CID:638011	CAS:5392-40-5	-2.4116682055000003	0.21168318561134697
RID00030	CID:1254	CAS:89-78-1	-2.4880091207	0.08128306587897749
RID00280	CID:6616	CAS:79-92-5	-4.4715404278	0.019754270650000016
RID00182	CID:517121	CAS:2893-78-9	-0.8951600114	0.5079347501488933
RID00081	CID:2266	CAS:123-99-9	-1.8944614494	0.06276927529999998
RID00215	CID:5284507	CAS:7212-44-4	-3.9853522661	0.1062543616499998
RID00319	CID:8371	CAS:118-75-2	-5.0896861436	1.0484430718
RID00022	CID:11230	CAS:562-74-3	-1.9409970697	0.3299873499
RID00261	CID:637511	CAS:104-55-2	-1.9688182578	0.11882527601619061
RID00119	CID:3314	CAS:97-53-0	-2.1531779235	0.29548896174999995
RID00256	CID:6249	CAS:69-53-4	-1.5390164423	0.0
RID00315	CID:784	CAS:7722-84-1	0.4683422926	0.0
RID00239	CID:5564	CAS:3380-34-5	-4.4617160697000005	0.10124395110756627
RID00205	CID:5281613	CAS:520-27-4	-7.505541952200001	0.0
RID00318	CID:8215	CAS:112-85-6	-7.3281144602	1.74742501085
RID00281	CID:6654	CAS:80-56-8	-3.7725704235000004	0.6982724321514986
RID00274	CID:65064	CAS:989-51-5	-1.0591609316	0.0
RID00339	CID:971	CAS:144-62-7	0.0790172102	0.5857959272925058
RID00064	CID:176	CAS:64-19-7	1.0017178079	0.10989109605000003
RID00327	CID:875	CAS:87-69-4	0.5718478438	0.6828326824619204
RID00310	CID:7628	CAS:10043-35-3	-0.0992552152	0.05386989199120631
RID00098	CID:25517	CAS:12125-02-9	0.8422541039	0.013027077900000017
RID00186	CID:5234	CAS:7647-14-5	0.7343267611	0.0
RID00093	CID:2450	CAS:52-51-7	0.1271308568	0.0299312757092958
RID00089	CID:24007	CAS:7446-08-4	1.3647745033	0.0
RID00091	CID:243	CAS:65-85-0	-1.619929844	0.04522260641072838
RID00055	CID:159762		-0.3094338224	0.03027345558796083
RID00112	CID:30231	CAS:20702-77-6	-3.1851035311	0.0
RID00251	CID:612	CAS:50-21-5	1.0454	0.0
RID00244	CID:5853	CAS:52-68-6	-0.3315	0.09806148864643835
RID00097	CID:2537	CAS:76-22-2	-1.9784	0.0674500169756489
RID00276	CID:6549	CAS:78-70-6	-1.9871	0.0
RID00278	CID:6585	CAS:79-21-0	1.1189	0.0
RID00294	CID:6909	CAS:87-90-1	-1.2871	0.0
RID00021	CID:1123	CAS:107-35-7	-0.1906	0.0
RID00225	CID:5430	CAS:148-79-8	-3.6048	1.1524
RID00010	CID:10228	CAS:484-12-8	-4.3087	0.0
RID00015	CID:10364	CAS:499-75-2	-2.0798	0.0
RID00270	CID:64685	CAS:507-70-0	-2.3202	0.2149000000000001
RID00017	CID:10569	CAS:514-10-3	-3.7959	0.0
RID00127	CID:3496	CAS:1071-83-6	-1.2069	0.0
RID00105	CID:2730	CAS:2921-88-2	-5.4956	0.11178089679765886
RID00317	CID:807	CAS:7553-56-2	-2.886	0.0
RID00201	CID:5281303	CAS:11141-17-6	-3.4428	0.0
RID00133	CID:37542	CAS:36791-04-5	-0.2355	0.0
RID00134	CID:37768	CAS:37517-28-5	-0.5004	0.0
RID00141	CID:40585	CAS:52918-63-5	-8.4024	0.0
RID00176	CID:4891	CAS:55268-74-1	-2.8927	0.0
RID00111	CID:2912	CAS:52315-07-8	-6.5587	0.7293500000000002
RID00332	CID:91734	CAS:83121-18-0	-7.3023	0.1647657181424583
RID00162	CID:444539	CAS:140-10-3	-2.4335	0.059786862176308304
RID00140	CID:4055	CAS:58-27-5	-3.0319	0.01905000000000001
RID00137	CID:4004	CAS:121-75-5	-3.3637	0.0
