id	predecessor_pubchemid	predecessor_casrn	predecessor_smiles	successor_smiles	successor_pubchemid	reaction_name	reaction_smiles	enzyme	biosystem	transformation	source
RID00159	CID:442474	CAS:142449-87-4	C=C[C@](OC(=O)C)(CCC=C(C)C)C	[O-]C(=O)C	175	EAWAG_RULE_BT0024_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00159	CID:442474	CAS:142449-87-4	C=C[C@](OC(=O)C)(CCC=C(C)C)C	C(CCC=C(C)C)(C)(C=C)O	6549	EAWAG_RULE_BT0024_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00159	CID:442474	CAS:142449-87-4	C=C[C@](OC(=O)C)(CCC=C(C)C)C	O([C@@](CCC=C(C)C)(C)C1CO1)C(=O)C		EAWAG_RULE_BT0049		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00159	CID:442474	CAS:142449-87-4	C=C[C@](OC(=O)C)(CCC=C(C)C)C	O([C@@](CCC=C(C)C)(C)CC)C(=O)C		EAWAG_RULE_BT0291_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00159	CID:442474	CAS:142449-87-4	C=C[C@](OC(=O)C)(CCC=C(C)C)C	O([C@@](CCCC(C)C)(C)C=C)C(=O)C		EAWAG_RULE_BT0291_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00304	CID:71777	CAS:103055-07-8	O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(cc1Cl)OC(C(C(F)(F)F)F)(F)F	ClC1=C(OC(F)(F)C(F)C(F)(F)F)C=CC(NC(=O)NC(=O)C2=C(F)C=CC=C2F)=C1	12986427	EAWAG_RULE_BT0029		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00304	CID:71777	CAS:103055-07-8	O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(cc1Cl)OC(C(C(F)(F)F)F)(F)F	C1=C(OC(F)(F)C(F)C(F)(F)F)C=C(Cl)C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)=C1	165412033	EAWAG_RULE_BT0029		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00304	CID:71777	CAS:103055-07-8	O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(cc1Cl)OC(C(C(F)(F)F)F)(F)F	ClC1=C(OC(F)(F)C(F)C(F)(F)F)C=C(Cl)C(NC(=O)N)=C1	53831228	EAWAG_RULE_BT0067_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00304	CID:71777	CAS:103055-07-8	O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(cc1Cl)OC(C(C(F)(F)F)F)(F)F	C(=O)(C1=C(F)C=CC=C1F)O	9796	EAWAG_RULE_BT0067_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00304	CID:71777	CAS:103055-07-8	O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(cc1Cl)OC(C(C(F)(F)F)F)(F)F	ClC1=C(OC(F)(F)C(F)C(F)(F)F)C=C(Cl)C(N)=C1	9862220	EAWAG_RULE_BT0068		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00304	CID:71777	CAS:103055-07-8	O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(cc1Cl)OC(C(C(F)(F)F)F)(F)F	C(=O)(NC(=O)C1=C(F)C=CC=C1F)[O-]		EAWAG_RULE_BT0068		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00328	CID:892	CAS:87-89-8	OC1C(O)C(O)C(C(C1O)O)O	O=C1C(O)C(O)C(O)C(O)C1O	452	EAWAG_RULE_BT0002		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00217	CID:5318516	CAS:18836-52-7	CCCCC/C=C/C=C/C(=O)NCC(C)C	O=C(/C=C/C=C/CCCCC)O	5282782	EAWAG_RULE_BT0067_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00217	CID:5318516	CAS:18836-52-7	CCCCC/C=C/C=C/C(=O)NCC(C)C	NCC(C)C	6558	EAWAG_RULE_BT0067_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00217	CID:5318516	CAS:18836-52-7	CCCCC/C=C/C=C/C(=O)NCC(C)C	O=C(N)/C=C/C=C/CCCCC	19812070	EAWAG_RULE_BT0243		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00217	CID:5318516	CAS:18836-52-7	CCCCC/C=C/C=C/C(=O)NCC(C)C	C(C(C)C)O	6560	EAWAG_RULE_BT0243		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00217	CID:5318516	CAS:18836-52-7	CCCCC/C=C/C=C/C(=O)NCC(C)C	O=C(NCC(C)C)CC/C=C/CCCCC		EAWAG_RULE_BT0291_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00217	CID:5318516	CAS:18836-52-7	CCCCC/C=C/C=C/C(=O)NCC(C)C	O=C(NCC(C)C)/C=C/CCCCCCC	11031534	EAWAG_RULE_BT0291_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00217	CID:5318516	CAS:18836-52-7	CCCCC/C=C/C=C/C(=O)NCC(C)C	O=C(NCC(C)C)/C=C/C=C/CCCCCO	88665228	EAWAG_RULE_BT0334		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00217	CID:5318516	CAS:18836-52-7	CCCCC/C=C/C=C/C(=O)NCC(C)C	O=C(NCC(C)(C)O)/C=C/C=C/CCCCC		EAWAG_RULE_BT0241		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00293	CID:69068	CAS:605-94-7	COC1=C(OC)C(=O)C(=CC1=O)C	C1(=C(OC)C(=O)C=C(C1=O)C)O	119035	EAWAG_RULE_BT0023_PATTERN2		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00293	CID:69068	CAS:605-94-7	COC1=C(OC)C(=O)C(=CC1=O)C	O(C1=C(C(=O)C=C(C1=O)C)O)C	136462571	EAWAG_RULE_BT0023_PATTERN2		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00293	CID:69068	CAS:605-94-7	COC1=C(OC)C(=O)C(=CC1=O)C	O(C1=C(OC)C(=O)C=C(C(=O)O1)C)C		EAWAG_RULE_BT0071		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00293	CID:69068	CAS:605-94-7	COC1=C(OC)C(=O)C(=CC1=O)C	O(C1=C(OC)OC(=O)C=C(C1=O)C)C		EAWAG_RULE_BT0071		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00293	CID:69068	CAS:605-94-7	COC1=C(OC)C(=O)C(=CC1=O)C	O(C1C(OC)C(O)CC(C1O)C)C		EAWAG_RULE_BT0107		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00293	CID:69068	CAS:605-94-7	COC1=C(OC)C(=O)C(=CC1=O)C	O(C1=C(OC)C(=O)CC(C1=O)C)C	121387263	EAWAG_RULE_BT0291_PATTERN1		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
RID00237	CID:5481173	CAS:72558-82-8	O=C1[C@@H](NC(=O)/C(=N\OC(C(=O)O)(C)C)/c2csc(n2)N)[C@@H]2N1C(=C(CS2)C[n+]1ccccc1)C(=O)[O-]	S1[C@H]2N(C(=O)[C@H]2NC(=O)/C(=N\OC(C)(C)C(O)=O)/C=3N=C(SC3)N)C(C(C1)(C[N+]4=CC=CC=C4)O)C([O-])=O		EAWAG_RULE_BT0021_PATTERN2		Unspecified environmental bacterial enzyme	ENVMICRO		Biotransformer3
