id	pubchemid	casrn	diseaseid	diseasename	organisms
RID00105	CID:2730	CAS:2921-88-2	MESH:D005355	Fibrosis	Oncorhynchus tshawytscha|Oncorhynchus mykiss|Oreochromis niloticus|Danio rerio|Micropterus salmoides|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D006965	Hyperplasia	Oncorhynchus tshawytscha|Oreochromis niloticus
RID00105	CID:2730	CAS:2921-88-2	MESH:D006949	Hyperlipidemias	Clarias gariepinus|Danio rerio|Oncorhynchus mykiss|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D006943	Hyperglycemia	Salmo salar|Clarias gariepinus|Oncorhynchus mykiss|Oreochromis niloticus|Danio rerio|Micropterus salmoides|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D006940	Hyperemia	Oncorhynchus tshawytscha|Oreochromis niloticus|Danio rerio|Micropterus salmoides|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D006470	Hemorrhage	Danio rerio|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D006332	Cardiomegaly	Oncorhynchus tshawytscha|Oncorhynchus mykiss|Oreochromis niloticus|Danio rerio|Micropterus salmoides|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D007003	Hypoglycemia	Oncorhynchus tshawytscha|Oncorhynchus mykiss|Oreochromis niloticus|Danio rerio|Micropterus salmoides|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D006130	Growth Disorders	Cyprinus carpio|Clarias gariepinus|Oreochromis niloticus
RID00105	CID:2730	CAS:2921-88-2	MESH:D066126	Cardiotoxicity	Oncorhynchus tshawytscha|Oncorhynchus mykiss|Oreochromis niloticus|Danio rerio|Micropterus salmoides|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D005234	Fatty Liver	Clarias gariepinus|Oncorhynchus mykiss|Oreochromis niloticus|Danio rerio|Micropterus salmoides|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D004487	Edema	Clarias gariepinus|Oncorhynchus mykiss|Oreochromis niloticus|Danio rerio|Micropterus salmoides|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D004195	Disease Models, Animal	Oncorhynchus tshawytscha|Oncorhynchus mykiss|Oreochromis niloticus|Danio rerio|Micropterus salmoides|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D003920	Diabetes Mellitus	Danio rerio|Micropterus salmoides|Cyprinus carpio
RID00105	CID:2730	CAS:2921-88-2	MESH:D003072	Cognition Disorders	Danio rerio|Cyprinus carpio
