id	chemical_name	pubchemid	casrn	latin_name	ecotox_species_group	ncbi_taxid	toxicity_type	endpoint	ppm_equivalent	trend	trend_description	effect	effect_description	measurement	measurement_description
RID00103	Thiamphenicol	CID:27200	CAS:15318-45-3	Daphnia magna	Crustaceans	35525	Acute	EC50	999.9999999999998	INC	Increasing	ITX	Intoxication	IMBL	Immobile
RID00104	Chlorpromazine	CID:2726	CAS:50-53-3	Danio rerio	Fish	7955	Acute	EC50	5.794306947981628	INC	Increasing	DVP	Development	ABNM	Abnormal
RID00104	Chlorpromazine	CID:2726	CAS:50-53-3	Danio rerio	Fish	7955	Acute	LC50	7.810761427505004	INC	Increasing	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Anguilla anguilla	Fish	7936	Acute	LC50	0.729745025396625	NR	Not reported	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Artemia franciscana	Crustaceans	6661	Acute	LC50	17.999999999999996	INC	Increasing	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Artemia salina	Crustaceans	85549	Acute	EC50	0.12299999999999997	DEC	Decreasing	MOR	Mortality	HTCH	Hatch
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Artemia salina	Crustaceans	85549	Acute	LC50	0.3637334828259805	INC	Increasing	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Artemia salina	Crustaceans	85549	Chronic	LOEL	0.385	DEC	Decreasing	BEH	Behavior	SWIM	Swimming
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Artemia salina	Crustaceans	85549	Chronic	LOEL	0.385	DEC	Decreasing	ENZ	Enzyme(s)	ACHE	Acetylcholinesterase
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Artemia salina	Crustaceans	85549	Chronic	LOEL	1.85	DEC	Decreasing	ENZ	Enzyme(s)	CEST	Cholinesterase
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Artemia salina	Crustaceans	85549	Chronic	NOEC	0.035	DEC	Decreasing	MOR	Mortality	HTCH	Hatch
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Artemia salina	Crustaceans	85549	Chronic	NOEC	3.5	INC	Increasing	MOR	Mortality	HTCH	Hatch
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Artemia salina	Crustaceans	85549	Chronic	NOEC	3.5	NR	Not reported	MOR	Mortality	HTCH	Hatch
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Carassius auratus	Fish	7957	Acute	EC50	6.0	DEC	Decreasing	PHY	Physiology	NRUP	Neutral red uptake
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Carassius auratus	Fish	7957	Acute	LC50	3.2700000000000005	INC	Increasing	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Carassius auratus	Fish	7957	Acute	LC50	0.806	NR	Not reported	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Cirrhinus mrigala	Fish	683832	Acute	LC50	3.025013615197003	INC	Increasing	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Cirrhinus mrigala	Fish	683832	Chronic	LOEL	0.19	DEC	Decreasing	ENZ	Enzyme(s)	ACHE	Acetylcholinesterase
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Clarias gariepinus	Fish	13013	Acute	LC50	0.08049641484823819	INC	Increasing	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Clarias gariepinus	Fish	13013	Chronic	NOEC	0.08600000000000002	DEC	Decreasing	BCM	Biochemistry	HMCT	Hematocrit (anemia)
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Clarias gariepinus	Fish	13013	Chronic	NOEC	0.17200000000000001	DEC	Decreasing	BCM	Biochemistry	HMGL	Hemoglobin
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Clarias gariepinus	Fish	13013	Chronic	NOEC	0.08600000000000002	DEC	Decreasing	BCM	Biochemistry	MCHC	Mean corpuscular (cell) hemoglobin concentration
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Clarias gariepinus	Fish	13013	Chronic	NOEC	0.08600000000000002	DEC	Decreasing	CEL	Cell(s)	RBCE	Red blood cell
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Clarias gariepinus	Fish	13013	Chronic	NOEC	0.08600000000000002	INC	Increasing	BCM	Biochemistry	MCHC	Mean corpuscular (cell) hemoglobin concentration
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Clarias gariepinus	Fish	13013	Chronic	NOEC	0.08600000000000002	INC	Increasing	BCM	Biochemistry	MCHG	Mean corpuscular hemoglobin
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Clarias gariepinus	Fish	13013	Chronic	NOEC	0.17200000000000001	INC	Increasing	BCM	Biochemistry	MCPV	Mean corpuscular volume
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Clarias gariepinus	Fish	13013	Chronic	NOEC	0.009200000000000002	INC	Increasing	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Ctenopharyngodon idella	Fish	7959	Acute	LC50	0.13825859389740947	INC	Increasing	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Cyprinus carpio	Fish	7962	Acute	EC50	0.02	INC	Increasing	ENZ	Enzyme(s)	ACHE	Acetylcholinesterase
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Cyprinus carpio	Fish	7962	Acute	LC50	0.0411311041068555	INC	Increasing	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Cyprinus carpio	Fish	7962	Acute	LC50	0.007999999999999997	NC	Not coded	MOR	Mortality	MORT	Mortality
RID00105	Chlorpyrifos	CID:2730	CAS:2921-88-2	Cyprinus carpio	Fish	7962	Chronic	LOEL	0.0011599999999999996	DEC	Decreasing	ENZ	Enzyme(s)	ACHE	Acetylcholinesterase
