id	pubchemid	casrn	chemical_name	listname	link	category	class
RID00102	2719	54-05-7	Chloroquine	OSPAR List of Substances of Possible Concern	https://www.ospar.org/work-areas/hasec/hazardous-substances/possible-concern/list	External environmental exposome	Substances of concern
RID00104	2726	50-53-3	Chlorpromazine	OSPAR List of Substances of Possible Concern	https://www.ospar.org/work-areas/hasec/hazardous-substances/possible-concern/list	External environmental exposome	Substances of concern
RID00105	2730	2921-88-2	Chlorpyrifos	Production of major chemicals year-wise in India	https://www.data.gov.in/resource/production-major-chemicals-product-wise-group-wise-2007-08-2013-14	Miscellaneous external exposomes	Substances in use
RID00105	2730	2921-88-2	Chlorpyrifos	EU Water Framework Priority Substances	https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32013L0039	External environmental exposome	Substances of concern
RID00105	2730	2921-88-2	Chlorpyrifos	OSPAR List of Substances of Possible Concern	https://www.ospar.org/work-areas/hasec/hazardous-substances/possible-concern/list	External environmental exposome	Substances of concern
RID00105	2730	2921-88-2	Chlorpyrifos	Singapore list of controlled hazardous substances	https://www.nea.gov.sg/docs/default-source/default-document-library/hs--table-1.pdf	External environmental exposome	Substances of concern
RID00105	2730	2921-88-2	Chlorpyrifos	NZ EPA priority chemical list	https://www.epa.govt.nz/industry-areas/hazardous-substances/chemical-reassessment-programme/priority-chemicals-list/	Miscellaneous external exposomes	Substances of concern
RID00105	2730	2921-88-2	Chlorpyrifos	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00105	2730	2921-88-2	Chlorpyrifos	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00109	2764	85721-33-1	Ciprofloxacin	EU Union-wide Monitoring Watchlist	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32020D1161	External environmental exposome	Substances of concern
RID00111	2912	52315-07-8	Cypermethrin	Production of major chemicals year-wise in India	https://www.data.gov.in/resource/production-major-chemicals-product-wise-group-wise-2007-08-2013-14	Miscellaneous external exposomes	Substances in use
RID00111	2912	52315-07-8	Cypermethrin	EU Water Framework Priority Substances	https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32013L0039	External environmental exposome	Substances of concern
RID00111	2912	52315-07-8	Cypermethrin	NZ EPA priority chemical list	https://www.epa.govt.nz/industry-areas/hazardous-substances/chemical-reassessment-programme/priority-chemicals-list/	Miscellaneous external exposomes	Substances of concern
RID00113	3039	62-73-7	Dichlorvos	Production of major chemicals year-wise in India	https://www.data.gov.in/resource/production-major-chemicals-product-wise-group-wise-2007-08-2013-14	Miscellaneous external exposomes	Substances in use
RID00113	3039	62-73-7	Dichlorvos	EU Water Framework Priority Substances	https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32013L0039	External environmental exposome	Substances of concern
RID00113	3039	62-73-7	Dichlorvos	NZ EPA priority chemical list	https://www.epa.govt.nz/industry-areas/hazardous-substances/chemical-reassessment-programme/priority-chemicals-list/	Miscellaneous external exposomes	Substances of concern
RID00113	3039	62-73-7	Dichlorvos	Schedule 1 hazardous chemical list in India	http://moef.gov.in/wp-content/uploads/2019/08/SCHEDULE-I.html	Miscellaneous external exposomes	Substances of concern
RID00116	3120	330-54-1	Diuron	Production of major chemicals year-wise in India	https://www.data.gov.in/resource/production-major-chemicals-product-wise-group-wise-2007-08-2013-14	Miscellaneous external exposomes	Substances in use
RID00116	3120	330-54-1	Diuron	EU Water Framework Priority Substances	https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32013L0039	External environmental exposome	Substances of concern
RID00116	3120	330-54-1	Diuron	NZ EPA priority chemical list	https://www.epa.govt.nz/industry-areas/hazardous-substances/chemical-reassessment-programme/priority-chemicals-list/	Miscellaneous external exposomes	Substances of concern
RID00116	3120	330-54-1	Diuron	SIN List	https://sinsearch.chemsec.org	Miscellaneous external exposomes	Substances of concern
RID00116	3120	330-54-1	Diuron	Organisation for Economic Co-operation and Development (OECD) High Production Volume (OECD HPV)	https://hpvchemicals.oecd.org/ui/search.aspx	High Production Volume	High Production Volume
RID00116	3120	330-54-1	Diuron	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00118	323	91-64-5	Coumarin	United States High Production Volume (USHPV) database	https://comptox.epa.gov/dashboard/chemical-lists/EPAHPV	High Production Volume	High Production Volume
RID00122	3365	86386-73-4	Fluconazole	EU Union-wide Monitoring Watchlist	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32020D1161	External environmental exposome	Substances of concern
RID00126	3485	111-30-8	Glutaraldehyde	NPI Australia	http://www.npi.gov.au/substances/substance-list-and-thresholds	External environmental exposome	Substances of concern
RID00126	3485	111-30-8	Glutaraldehyde	SIN List	https://sinsearch.chemsec.org	Miscellaneous external exposomes	Substances of concern
RID00126	3485	111-30-8	Glutaraldehyde	SVHC under REACH	https://echa.europa.eu/candidate-list-table	Miscellaneous external exposomes	Substances of concern
