id	pubchemid	casrn	aquaculture_predator_species	prey_species	toxicity_type	endpoint	ppm_equivalent
RID00102	CID:2719	CAS:54-05-7	Anguilla anguilla	Mytilus edulis	Chronic	NOEC	2.0
RID00102	CID:2719	CAS:54-05-7	Gadus morhua	Mytilus edulis	Chronic	NOEC	2.0
RID00102	CID:2719	CAS:54-05-7	Homarus americanus	Mytilus edulis	Chronic	NOEC	2.0
RID00102	CID:2719	CAS:54-05-7	Salmo trutta	Mytilus edulis	Chronic	NOEC	2.0
RID00103	CID:27200	CAS:15318-45-3	Carassius carassius	Daphnia magna	Acute	EC50	999.9999999999998
RID00103	CID:27200	CAS:15318-45-3	Danio rerio	Daphnia magna	Acute	EC50	999.9999999999998
RID00103	CID:27200	CAS:15318-45-3	Daphnia magna	Chlorella vulgaris	Acute	EC50	522.0000000000002
RID00103	CID:27200	CAS:15318-45-3	Micropterus salmoides	Chlorella vulgaris	Acute	EC50	522.0000000000002
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oncorhynchus mykiss	Chronic	NOEC	0.0003299999999999998
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oncorhynchus mykiss	Chronic	NOEL	0.004200000000000002
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oncorhynchus tshawytscha	Chronic	LOEL	0.0031883692362158892
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oncorhynchus tshawytscha	Chronic	NOEL	0.0024494897427831783
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Physidae	Chronic	NOEC	0.0010000000000000002
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Paratya australiensis	Acute	LC50	0.00014008077870460527
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Paratya australiensis	Chronic	NOEC	3.688927246762499e-05
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oncorhynchus mykiss	Chronic	LOEL	0.005000000000000002
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Paratya australiensis	Acute	EC50	0.00035226208712248495
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oncorhynchus mykiss	Acute	LC50	0.03251540653760214
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oncorhynchus clarkii	Acute	LC50	0.027773730877966623
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oncorhynchus kisutch	Chronic	NOEC	0.0010392304845413256
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oncorhynchus kisutch	Chronic	LOEL	0.0036422605903172725
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Pimephales promelas	Acute	EC50	0.11649537250676373
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oligochaeta	Chronic	NOEL	0.03200000000000001
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Oligochaeta	Chronic	NOEC	0.006193680692738203
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Mollusca	Chronic	NOEC	0.010000000000000004
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Lepidoptera	Chronic	LOEL	1268.687628302251
RID00105	CID:2730	CAS:2921-88-2	Oncorhynchus mykiss	Insecta	Chronic	NOEL	0.14142135623730953
