id	pubchemid	casrn	mol.wt	logp	topological_polar_surface_area_	number_of_hydrogen_bond_donors	number_of_hydrogen_bond_acceptors	number_of_carbon_atoms	number_of_heavy_atom	number_of_heteroatoms	number_of_rotatable_bonds	number_of_aliphatic_rings	number_of_aromatic_rings
RID00001	CID:10091801	CAS:351518-03-7	390.5130000000002	2.42748	110.47999999999999	2	5	18	27	9	6	2	1
RID00010	CID:10228	CAS:484-12-8	244.29	3.3103000000000016	39.44	0	3	15	18	3	3	0	2
RID00100	CID:26879	CAS:14769-73-4	204.29800000000003	2.1460999999999997	15.6	0	3	11	14	3	1	2	1
RID00101	CID:2703	CAS:34316-15-9	348.37800000000016	3.7166000000000032	40.800000000000004	0	4	21	26	5	2	1	4
RID00102	CID:2719	CAS:54-05-7	319.88	4.810600000000004	28.16	1	3	18	22	4	8	0	2
RID00103	CID:27200	CAS:15318-45-3	356.2270000000001	0.4042999999999999	103.69999999999999	3	5	12	21	9	6	0	1
RID00104	CID:2726	CAS:50-53-3	318.87300000000005	4.8944000000000045	6.48	0	3	17	21	4	4	1	2
RID00105	CID:2730	CAS:2921-88-2	350.5910000000002	4.7181000000000015	40.58	0	5	9	18	9	6	0	1
RID00106	CID:27447	CAS:15686-71-2	347.396	0.4449000000000012	112.72999999999999	3	5	16	24	8	3	2	1
RID00107	CID:2758	CAS:470-82-6	154.253	2.7441000000000013	9.23	0	1	10	11	1	0	3	0
RID00108	CID:276389	CAS:26833-85-2	531.6020000000004	2.1906	123.99	2	10	28	38	10	10	4	1
RID00109	CID:2764	CAS:85721-33-1	331.3470000000001	1.5833	74.57	2	5	17	24	7	3	2	2
RID00011	CID:10281	CAS:490-91-5	164.20399999999998	1.6668999999999998	34.14	0	2	10	12	2	1	1	0
RID00110	CID:27944	CAS:16595-80-5	240.75900000000001	2.5679000000000007	15.6	0	3	11	15	4	1	2	1
RID00111	CID:2912	CAS:52315-07-8	416.30400000000014	6.177980000000004	59.32	0	4	22	28	6	7	1	2
RID00112	CID:30231	CAS:20702-77-6	612.5810000000001	-1.341999999999992	245.28999999999996	9	15	28	43	15	10	2	2
RID00113	CID:3039	CAS:62-73-7	220.976	2.6804000000000006	44.760000000000005	0	4	4	11	7	4	0	0
RID00114	CID:3083714	CAS:1406-11-7	1107.2819999999988	-7.699900000000015	510.8899999999996	19	18	48	78	30	16	1	1
RID00115	CID:31101	CAS:25614-03-3	654.6060000000002	3.1928000000000027	118.20999999999998	3	6	32	43	11	3	5	2
RID00116	CID:3120	CAS:330-54-1	233.098	3.086900000000001	32.34	1	1	9	14	5	1	0	1
RID00117	CID:3220	CAS:518-82-1	270.24	1.8872199999999997	94.83	3	5	15	20	5	0	1	2
RID00118	CID:323	CAS:91-64-5	146.14499999999995	1.7929999999999995	30.21	0	2	9	11	2	0	0	2
RID00119	CID:3314	CAS:97-53-0	164.20399999999995	2.1292999999999997	29.46	1	2	10	12	2	3	0	1
RID00012	CID:10286	CAS:491-38-3	146.14499999999998	1.793	30.21	0	2	9	11	2	0	0	2
RID00120	CID:33255	CAS:25953-19-9	454.51900000000035	-0.6360799999999993	156.08999999999997	2	12	14	29	15	6	2	2
RID00121	CID:336327	CAS:32383-76-9	270.284	3.0105000000000013	47.92	1	4	16	20	4	1	2	2
RID00122	CID:3365	CAS:86386-73-4	306.276	0.7357999999999996	81.65	1	7	13	22	9	5	0	3
RID00123	CID:3374	CAS:42835-25-6	261.252	2.346	59.3	1	3	14	19	5	1	1	2
RID00124	CID:34474	CAS:29096-93-3	321.9960000000001	3.1121000000000016	34.14	0	2	10	14	4	1	1	0
RID00125	CID:3467	CAS:1403-66-3	477.60300000000035	-3.3274999999999917	199.73000000000002	8	12	21	33	12	7	3	0
RID00126	CID:3485	CAS:111-30-8	100.11699999999999	0.5545	34.14	0	2	5	7	2	4	0	0
RID00127	CID:3496	CAS:1071-83-6	169.07299999999995	-1.2042000000000002	106.86000000000001	4	3	3	10	7	4	0	0
RID00128	CID:35802	CAS:31430-15-6	313.28800000000007	3.111300000000001	84.08000000000001	2	4	16	23	7	4	0	3
RID00129	CID:3610	CAS:136-77-6	194.27400000000003	3.220600000000002	40.46	2	2	12	14	2	5	0	1
RID00013	CID:10290825	CAS:19902-08-0	136.238	2.9987000000000013	0.0	0	0	10	10	0	0	3	0
RID00130	CID:3641960	CAS:127-65-1	227.648	-0.7847799999999998	48.24	0	2	7	13	6	2	0	1
RID00131	CID:3686	CAS:58186-27-9	338.4440000000001	3.4623000000000026	72.83000000000001	1	5	19	24	5	12	1	0
RID00132	CID:37123	CAS:35367-38-5	310.687	3.5801000000000007	58.2	2	2	14	21	7	2	0	2
RID00133	CID:37542	CAS:36791-04-5	244.207	-3.011499999999997	143.72000000000003	4	8	8	17	9	2	1	1
RID00134	CID:37768	CAS:37517-28-5	585.608	-8.424200000000013	331.93999999999994	13	17	22	40	18	10	3	0
RID00135	CID:3806	CAS:481-39-0	174.155	1.3274000000000001	54.37	1	3	10	13	3	0	1	1
RID00136	CID:38103	CAS:38821-53-3	349.4120000000001	0.34860000000000047	112.72999999999999	3	5	16	24	8	3	3	0
RID00137	CID:4004	CAS:121-75-5	330.3640000000001	2.1218	71.06	0	8	10	19	9	11	0	0
RID00138	CID:4030	CAS:31431-39-7	295.29800000000006	2.972200000000001	84.08000000000001	2	4	16	22	6	4	0	3
RID00139	CID:40326	CAS:52645-53-1	391.29400000000004	6.113300000000004	35.53	0	3	21	26	5	7	1	2
RID00014	CID:10337211	CAS:19879-30-2	338.40300000000013	4.616000000000004	55.760000000000005	1	4	21	25	4	4	1	2
RID00140	CID:4055	CAS:58-27-5	172.183	2.0119	34.14	0	2	11	13	2	0	1	1
RID00141	CID:40585	CAS:52918-63-5	505.20600000000024	6.490180000000004	59.32	0	4	22	28	6	7	1	2
RID00142	CID:40854	CAS:53716-50-0	315.35400000000004	2.9079000000000006	84.08000000000001	2	4	15	22	7	4	0	3
RID00143	CID:410087	CAS:25655-41-8	364.9520000000002	2.5237000000000007	20.310000000000002	0	1	6	10	4	0	1	0
RID00144	CID:42586	CAS:57837-19-1	279.336	1.8443399999999999	55.84	0	4	15	20	5	6	0	1
RID00145	CID:42611257	CAS:918504-65-1	489.9310000000003	5.544200000000004	91.92	2	4	23	33	10	7	0	4
RID00146	CID:4284	CAS:134-62-3	191.274	2.4770200000000004	20.310000000000002	0	1	12	14	2	3	0	1
RID00147	CID:439246	CAS:480-41-1	272.25600000000003	2.5099	86.99000000000001	3	5	15	20	5	1	1	2
RID00148	CID:439250	CAS:5989-54-8	136.23799999999997	3.308900000000002	0.0	0	0	10	10	0	1	1	0
RID00149	CID:439262	CAS:9041-22-9	504.4380000000002	-7.573000000000004	268.67999999999995	11	16	18	34	16	7	3	0
RID00015	CID:10364	CAS:499-75-2	150.22099999999998	2.824020000000001	20.23	1	1	10	11	1	1	0	1
RID00150	CID:439533	CAS:480-18-2	304.2540000000001	1.1862999999999995	127.45000000000002	5	7	15	22	7	1	1	2
RID00151	CID:440917	CAS:5989-27-5	136.23799999999997	3.308900000000002	0.0	0	0	10	10	0	1	1	0
RID00152	CID:440967	CAS:18172-67-3	136.238	2.9987000000000013	0.0	0	0	10	10	0	0	3	0
RID00153	CID:441140	CAS:17090-79-8	352.7700000000001	2.8103000000000016	71.06	0	6	17	24	7	3	2	1
RID00154	CID:441199	CAS:35607-66-0	427.4600000000003	0.09860000000000002	148.26	3	8	16	28	12	6	2	1
RID00155	CID:441306	CAS:56391-56-1	475.5870000000004	-3.2006999999999923	199.73000000000005	8	12	21	33	12	8	3	0
RID00156	CID:44187	CAS:62893-19-0	645.6800000000002	-1.1119999999999948	220.26	4	13	25	44	19	6	3	2
RID00157	CID:4421	CAS:389-08-2	232.23899999999998	1.42302	72.19	1	4	12	17	5	2	0	2
RID00158	CID:442424	CAS:6902-77-8	226.22799999999998	-0.053300000000000125	75.99000000000001	2	5	11	16	5	3	2	0
RID00159	CID:442474	CAS:142449-87-4	196.28999999999996	3.2406000000000024	26.3	0	2	12	14	2	6	0	0
RID00016	CID:10494	CAS:508-02-1	456.71100000000035	7.233600000000009	57.53	2	2	30	33	3	1	5	0
RID00160	CID:443162	CAS:10482-56-1	154.253	2.503700000000001	20.23	1	1	10	11	1	1	1	0
RID00161	CID:44446856		286.32700000000006	3.1281000000000017	47.92	1	4	17	21	4	3	1	2
RID00162	CID:444539	CAS:140-10-3	148.16099999999997	1.7844	37.3	1	1	9	11	2	2	0	1
RID00163	CID:445154	CAS:501-36-0	228.24699999999999	2.9738000000000007	60.69	3	3	14	17	3	2	0	2
RID00164	CID:445858	CAS:1135-24-6	194.18599999999998	1.4986000000000002	66.75999999999999	2	3	10	14	4	3	0	1
RID00165	CID:446598	CAS:18323-44-9	424.9910000000002	0.38950000000000173	102.26	4	7	18	27	9	7	2	0
RID00166	CID:446925	CAS:502-65-8	536.8880000000003	12.937999999999976	0.0	0	0	40	40	0	16	0	0
RID00167	CID:447043	CAS:83905-01-5	748.996	1.9007000000000112	180.08	5	14	38	52	14	7	3	0
RID00168	CID:4471	CAS:50-65-7	189.239	-3.2067999999999977	115.33999999999999	5	2	7	13	6	6	0	0
RID00169	CID:4493	CAS:63612-50-0	317.22300000000007	2.4484000000000004	92.55000000000001	1	4	12	22	10	0	1	1
RID00017	CID:10569	CAS:514-10-3	302.458	5.206200000000006	37.3	1	1	20	22	2	2	3	0
RID00170	CID:4539	CAS:70458-96-7	319.33600000000007	1.2683	74.57	2	5	16	23	7	3	1	2
